,№,General standard #,Freq.,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning
,1010,1010,705,艸 140.5,53033,"0,027413%",5,3,8,范,fàn,fan,fourth,surname; bee-like insect
,1011,1011,255,目 109.3,169439,"0,087584%",3,2,8,直,zhí,zhi,second,"straight, erect, vertical"
,1012,1012,4472,艸 140.5,337,"0,000174%",,,8,茁,zhuó,zhuo,second,"to sprout, flourish; sprouts appearing above-ground; vigorous"
,1013,1013,3136,艸 140.5,1596,"0,000825%",,6,8,茄,jiā,jia,first,eggplant
,1014,1014,2675,艸 140.5,2956,"0,001528%",6,7–9,8,茎,jīng,jing,first,"stem, stalk"
,1015,1015,3106,艸 140.5,1660,"0,000858%",,,8,苔,tái,tai,second,"moss, lichen"
,1016,1016,2339,艸 140.5,4637,"0,002397%",,7–9,8,茅,máo,mao,second,"reeds, rushes, grass; surname"
,1017,1017,2918,木 75.4,2124,"0,001098%",6,7–9,8,枉,wǎng,wang,third,"useless, in vain; bent, crooked"
,1018,1018,364,木 75.4,117675,"0,060827%",4,4,8,林,lín,lin,second,"forest, grove; surname"
,1019,1019,1491,木 75.4,13982,"0,007227%",6,6,8,枝,zhī,zhi,first,"branches, limbs; branch off"
,1020,1020,1396,木 75.4,16068,"0,008306%",1,1,8,杯,bēi,bei,first,"cup, glass"
,1021,1021,2616,木 75.4,3169,"0,001638%",,7–9,8,枢,shū,shu,first,door hinge; pivot; center of power
,1022,1022,1994,木 75.5,7101,"0,003671%",5,5,8,柜,guì,gui,fourth,"cabinet, cupboard; shop counter"
,1023,1023,1884,木 75.4,8270,"0,004275%",6,7–9,8,枚,méi,mei,second,"stalk of shrub, trunk of tree"
,1024,1024,1073,木 75.4,27019,"0,013966%",5,5,8,析,xī,xi,first,split wood; break apart; divide
,1025,1025,930,木 75.4,35332,"0,018263%",3,2,8,板,bǎn,ban,third,"plank, board; iron or tin plate"
,1026,1026,895,木 75.4,37563,"0,019417%",4,4,8,松,sōng,song,first,pine tree; fir tree
,1027,1027,874,木 75.4,38569,"0,019937%",5,5,8,枪,qiāng,qiang,first,"spear, lance; gun, rifle"
,1028,1028,3229,木 75.4,1418,"0,000733%",,,8,枫,fēng,feng,first,maple tree
,1029,1029,511,木 75.4,80364,"0,041541%",5,4,8,构,gòu,gou,fourth,"frame, building, structure"
,1030,1030,2346,木 75.4,4583,"0,002369%",,7–9,8,杭,háng,hang,second,cross stream; navigate
,1031,1031,1129,木 75.4,24796,"0,012817%",6,6,8,杰,jié,jie,second,"hero; heroic, outstanding"
,1032,1032,674,辵 162.5,57744,"0,029848%",5,4,8,述,shù,shu,fourth,"narrate, state, express"
,1033,1033,2605,木 75.4,3206,"0,001657%",6,7–9,8,枕,zhěn,zhen,third,pillow
,1034,1034,1404,十 24.6,15731,"0,008131%",6,6,8,丧,sàng,sang,fourth,mourning; mourn; funeral
,1035,1035,160,戈 62.4,260786,"0,134802%",3,2,8,或,huò,huo,fourth,"or, either, else; perhaps, maybe"
,1036,1036,883,田 102.3,38263,"0,019778%",3,2,8,画,huà,hua,fourth,"a painting, picture, drawing; to draw"
,1037,1037,1944,臣 131.2,7696,"0,003978%",5,5,8,卧,wò,wo,fourth,lie down; crouch
,1038,1038,58,亅 6.7,499172,"0,258026%",2,1,8,事,shì,shi,fourth,"affair, matter, business; to serve; accident, incident"
,1039,1039,1058,刀 18.6,27891,"0,014417%",5,4,8,刺,cì,ci,fourth,"stab; prick, irritate; prod"
,1040,1040,2851,木 75.4,2319,"0,001199%",,7–9,8,枣,zǎo,zao,third,"date tree; dates, jujubes; surname"
,1041,1041,928,雨 173.0,35370,"0,018283%",1,1,8,雨,yǔ,yu,third,rain; rainy; KangXi radical 173
,1042,1042,974,十 24.6,32694,"0,016900%",2,2,8,卖,mài,mai,fourth,sell; betray; show off
,1043,1043,1915,邑 163.6,7968,"0,004119%",6,7–9,8,郁,yù,yu,fourth,"sweet smelling, rich in aroma; (Cant.) to move, hit"
,1044,1044,4601,石 112.3,287,"0,000148%",,,8,矾,fán,fan,second,alum
,1045,1045,1385,石 112.3,16360,"0,008457%",4,4,8,矿,kuàng,kuang,fourth,"mine; mineral, ore"
,1046,1046,1345,石 112.3,17626,"0,009111%",4,4,8,码,mǎ,ma,third,"number, numerals; yard; symbol"
,1047,1047,2920,厂 27.6,2118,"0,001095%",4,6,8,厕,cè,ce,fourth,"mingle with; toilet, lavatory"
,1048,1048,1624,大 37.5,11509,"0,005949%",5,5,8,奈,nài,nai,fourth,"but, how; bear, stand, endure"
,1049,1049,1285,大 37.6,18989,"0,009816%",6,6,8,奔,bēn,ben,first,"run fast, flee; rush about; run"
,1050,1050,563,大 37.5,71919,"0,037176%",3,3,8,奇,qí,qi,second,"strange, unusual, uncanny, occult"
,1051,1051,1268,大 37.5,19499,"0,010079%",4,4,8,奋,fèn,fen,fourth,"strive, exert effort; arouse"
,1052,1052,528,心 61.4,77219,"0,039915%",4,2,8,态,tài,tai,fourth,"manner, bearing, attitude"
,1053,1053,823,欠 76.4,42504,"0,021971%",5,7–9,8,欧,ōu,ou,first,translit.: Europe; ohm; surname
,1054,1054,3354,殳 79.4,1221,"0,000631%",6,7–9,8,殴,ōu,ou,first,"beat, fight with fists, hit"
,1055,1055,2336,龍 212.3,4642,"0,002399%",6,7–9,8,垄,lǒng,long,third,"grave, mound; ridge in field"
,1056,1056,1076,女 38.5,26847,"0,013877%",2,4,8,妻,qī,qi,first,wife
,1057,1057,1264,車 159.4,19670,"0,010168%",6,7–9,8,轰,hōng,hong,first,"rumble, explosion, blast"
,1058,1058,2724,頁 181.2,2753,"0,001423%",,7–9,8,顷,qǐng,qing,third,a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean
,1059,1059,376,車 159.4,115087,"0,059489%",4,3,8,转,zhuǎn,zhuan,third,"shift, move, turn"
,1060,1060,2463,車 159.4,3844,"0,001987%",6,7–9,8,斩,zhǎn,zhan,third,"cut, chop, sever; behead"
,1061,1061,1096,車 159.4,25958,"0,013418%",5,4,8,轮,lún,lun,second,"wheel; revolve, turn; recur"
,1062,1062,1043,車 159.4,28885,"0,014931%",5,5,8,软,ruǎn,ruan,third,"soft, flexible, pliable; weak"
,1063,1063,22,刀 18.6,965035,"0,498835%",2,1,8,到,dào,dao,fourth,"go to, arrive, been to"
,1064,1064,283,非 175.0,149915,"0,077492%",2,1,8,非,fēi,fei,first,"not, negative, non-; oppose"
,1065,1065,1422,又 29.6,15310,"0,007914%",3,4,8,叔,shū,shu,first,"uncle, father's younger brother; husband's younger brother"
,1066,1066,2071,止 77.4,6451,"0,003335%",6,7–9,8,歧,qí,qi,second,fork of road; branching off
,1067,1067,860,肉 130.4,39813,"0,020580%",4,5,8,肯,kěn,ken,third,"willing; consent to, permit"
,1068,1068,1773,齒 211.0,9415,"0,004867%",5,7–9,8,齿,chǐ,chi,third,"teeth; gears, cogs; age; simplified form of the KangXi radical number 211"
,1069,1069,86,二 7.5,400528,"0,207036%",1,1,8,些,xiē,xie,first,"little, few; rather, somewhat"
,1070,1070,1942,十 24.6,7714,"0,003987%",6,7–9,8,卓,zhuō,zhuo,first,"profound, brilliant, lofty"
,1071,1071,1083,虍 141.2,26514,"0,013705%",4,5,8,虎,hǔ,hu,third,"tiger; brave, fierce; surname"
,1072,1072,2475,虍 141.2,3811,"0,001970%",6,7–9,8,虏,lǔ,lu,third,"to capture, imprison, seize; a prison"
,1073,1073,2361,肉 130.4,4437,"0,002294%",,7–9,8,肾,shèn,shen,fourth,"kidneys; testes, gizzard"
,1074,1074,1943,貝 154.4,7713,"0,003987%",6,7–9,8,贤,xián,xian,second,"virtuous, worthy, good; able"
,1075,1075,878,小 42.5,38376,"0,019837%",5,4,8,尚,shàng,shang,fourth,"still, yet; even; fairly, rather"
,1076,1076,2198,日 72.4,5529,"0,002858%",6,6,8,旺,wàng,wang,fourth,prosper; prosperous; increase
,1077,1077,391,八 12.6,108811,"0,056245%",4,3,8,具,jù,ju,fourth,"tool, implement; draw up, write"
,1078,1078,844,口 30.5,40704,"0,021040%",4,2,8,味,wèi,wei,fourth,"taste, smell, odor; delicacy"
,1079,1079,165,木 75.4,246831,"0,127589%",1,1,8,果,guǒ,guo,third,fruit; result
,1080,1080,1759,日 72.4,9557,"0,004940%",5,7–9,8,昆,kūn,kun,first,elder brother; descendants
,1081,1081,20,囗 31.5,985350,"0,509336%",1,1,8,国,guó,guo,second,"nation, country, nation-state"
,1082,1082,2294,口 30.6,4887,"0,002526%",5,7–9,8,哎,āi,ai,first,interjection of surprise
,1083,1083,2418,口 30.5,4132,"0,002136%",,,8,咕,gū,gu,first,"mumble, mutter, murmur; rumble"
,1084,1084,1606,日 72.4,11787,"0,006093%",6,6,8,昌,chāng,chang,first,"light of sun; good, proper"
,1085,1085,1861,口 30.5,8433,"0,004359%",6,7–9,8,呵,ā,a,first,scold; laughing sound; yawn
,1086,1086,2122,日 72.4,6012,"0,003108%",6,6,8,畅,chàng,chang,fourth,"smoothly, freely, unrestrained"
,1087,1087,121,日 72.4,309873,"0,160176%",1,1,8,明,míng,ming,second,"bright, light, brilliant; clear"
,1088,1088,461,日 72.4,89730,"0,046382%",3,3,8,易,yì,yi,fourth,change; easy
,1089,1089,3027,口 30.5,1845,"0,000954%",6,7–9,8,咙,lóng,long,second,throat
,1090,1090,1952,日 72.4,7637,"0,003948%",6,7–9,8,昂,áng,ang,second,"rise, raise; proud, bold; upright"
,1091,1091,1440,辵 162.5,15073,"0,007791%",,7–9,8,迪,dí,di,second,"enlighten, advance; progress"
,1092,1092,1044,八 12.6,28860,"0,014918%",3,2,8,典,diǎn,dian,third,"law, canon; documentation; classic, scripture"
,1093,1093,893,囗 31.5,37582,"0,019426%",5,4,8,固,gù,gu,fourth,"to become solid, solidify; strength"
,1094,1094,1322,心 61.4,18021,"0,009315%",6,6,8,忠,zhōng,zhong,first,"loyalty, devotion, fidelity"
,1095,1095,2929,口 30.5,2092,"0,001081%",6,,8,呻,shēn,shen,first,"groan, moan; recite with intonation"
,1096,1096,2286,口 30.5,4931,"0,002549%",,,8,咒,zhòu,zhou,fourth,"curse, damn, incantation"
,1097,1097,2830,口 30.5,2389,"0,001235%",6,,8,咋,zǎ,za,third,"question-forming particle, why? how? what?; to bite; loud"
,1098,1098,2093,口 30.5,6257,"0,003234%",6,7–9,8,咐,fù,fu,fourth,"instruct, order"
,1099,1099,843,口 30.5,40709,"0,021043%",4,4,8,呼,hū,hu,first,"breathe sigh, exhale; call, shout"
,1100,1100,1680,口 30.5,10636,"0,005498%",6,7–9,8,鸣,míng,ming,second,cry of bird or animal; make sound
,1101,1101,3469,口 30.5,1067,"0,000552%",,7–9,8,咏,yǒng,yong,third,"sing song or poem, hum, chant"
,1102,1102,383,口 30.5,112185,"0,057989%",1,1,8,呢,ne,ne,neutral,interrogative or emphatic final; (Cant.) this
,1103,1103,3325,口 30.5,1282,"0,000663%",,,8,咄,duō,duo,first,"noise of rage, cry out in anger"
,1104,1104,2379,口 30.5,4366,"0,002257%",2,3,8,咖,kā,ka,first,coffee; a phonetic
,1105,1105,971,山 46.5,32807,"0,016958%",5,5,8,岸,àn,an,fourth,"bank, shore; beach, coast"
,1106,1106,1423,山 46.5,15279,"0,007898%",6,7–9,8,岩,yán,yan,second,cliff; rocks; mountain
,1107,1107,2892,巾 50.5,2191,"0,001133%",6,7–9,8,帖,tiē,tie,first,invitation card; notice
,1108,1108,392,网 122.3,108376,"0,056020%",,7–9,8,罗,luō,luo,first,net for catching birds; gauze
,1109,1109,2813,巾 50.5,2452,"0,001267%",6,7–9,8,帜,zhì,zhi,fourth,"flag, pennant; sign; fasten"
,1110,1110,1519,巾 50.5,13566,"0,007012%",,7–9,8,帕,pà,pa,fourth,"turban, kerchief, veil; wrap"
,1111,1111,2214,山 46.5,5429,"0,002806%",,7–9,8,岭,lǐng,ling,third,"mountain ridge, mountain peak"
,1112,1112,1447,几 16.6,14990,"0,007748%",,7–9,8,凯,kǎi,kai,third,"triumphant; triumph, victory"
,1113,1113,862,貝 154.4,39627,"0,020484%",4,4,8,败,bài,bai,fourth,"be defeated, decline, fail"
,1114,1114,2179,貝 154.4,5652,"0,002922%",5,6,8,账,zhàng,zhang,fourth,"accounts; bill, debt; credit"
,1115,1115,2466,貝 154.4,3837,"0,001983%",6,7–9,8,贩,fàn,fan,fourth,"peddler, hawker, street merchant"
,1116,1116,2536,貝 154.5,3580,"0,001851%",6,7–9,8,贬,biǎn,bian,third,"decrease, lower; censure, criticize"
,1117,1117,1078,貝 154.4,26803,"0,013855%",4,4,8,购,gòu,gou,fourth,"buy, purchase; hire"
,1118,1118,2824,貝 154.4,2398,"0,001240%",,7–9,8,贮,zhù,zhu,fourth,"store, stockpile, hoard"
,1119,1119,476,囗 31.5,85957,"0,044432%",3,1,8,图,tú,tu,second,"diagram; chart, map, picture"
,1120,1120,2305,金 167.3,4813,"0,002488%",5,7–9,8,钓,diào,diao,fourth,"fish; fishhook; tempt, lure"
,1121,1121,163,刀 18.6,250754,"0,129617%",5,3,8,制,zhì,zhi,fourth,system; establish; overpower
,1122,1122,123,矢 111.3,306384,"0,158372%",2,1,8,知,zhī,zhi,first,"know, perceive, comprehend"
,1123,1123,3018,辵 162.5,1859,"0,000961%",,7–9,8,迭,dié,die,second,"repeatedly, frequently"
,1124,1124,2009,气 84.4,6968,"0,003602%",5,6,8,氛,fēn,fen,first,"gas, vapor, air"
,1125,1125,1592,土 32.5,11949,"0,006177%",6,7–9,8,垂,chuí,chui,second,"let down; suspend, hand; down"
,1126,1126,1580,牛 93.4,12193,"0,006303%",6,7–9,8,牧,mù,mu,fourth,"tend cattle, shepherd"
,1127,1127,142,牛 93.4,281146,"0,145327%",3,2,8,物,wù,wu,fourth,"thing, substance, creature"
,1128,1128,2470,丿 4.7,3828,"0,001979%",5,7–9,8,乖,guāi,guai,first,"rebel; crafty, shrewd"
,1129,1129,2350,刀 18.6,4565,"0,002360%",3,6,8,刮,guā,gua,first,"shave, pare off, scrape"
,1130,1130,4132,禾 115.3,502,"0,000259%",,,8,秆,gǎn,gan,third,straw; stalk of grain
,1131,1131,19,口 30.5,1010465,"0,522318%",1,1,8,和,hé,he,second,"harmony, peace; peaceful, calm"
,1132,1132,1279,子 39.5,19211,"0,009930%",3,4,8,季,jì,ji,fourth,quarter of year; season; surname
,1133,1133,457,女 38.5,90263,"0,046658%",5,5,8,委,wěi,wei,third,"appoint, send, commission"
,1134,1134,2809,禾 115.3,2472,"0,001278%",,7–9,8,秉,bǐng,bing,third,"grasp, hold; bundle; authority"
,1135,1135,1583,人 9.6,12061,"0,006234%",6,6,8,佳,jiā,jia,first,"good, auspicious; beautiful; delightful"
,1136,1136,1871,人 9.6,8320,"0,004301%",,7–9,8,侍,shì,shi,fourth,"serve, attend upon; attendant, servant; samurai"
,1137,1137,1844,山 46.5,8577,"0,004434%",6,7–9,8,岳,yuè,yue,fourth,mountain peak; surname
,1138,1138,550,人 9.6,74168,"0,038338%",4,4,8,供,gōng,gong,first,"supply, provide for; offer in worship"
,1139,1139,119,人 9.6,316273,"0,163484%",4,2,8,使,shǐ,shi,third,"cause, send on a mission, order; envoy, messenger, ambassador"
,1140,1140,547,人 9.6,74579,"0,038551%",4,2,8,例,lì,li,fourth,"precedent, example; regulation"
,1141,1141,1216,人 9.6,20999,"0,010855%",6,7–9,8,侠,xiá,xia,second,chivalrous person; knight-errant
,1142,1142,3359,人 9.6,1215,"0,000628%",6,,8,侥,jiǎo,jiao,third,"be lucky; by chance, by luck"
,1143,1143,810,片 91.4,42853,"0,022151%",5,5,8,版,bǎn,ban,third,printing blocks; edition
,1144,1144,2664,人 9.6,2987,"0,001544%",6,,8,侄,zhí,zhi,second,nephew
,1145,1145,1479,人 9.6,14329,"0,007407%",6,7–9,8,侦,zhēn,zhen,first,"spy, reconnoiter; detective"
,1146,1146,2661,人 9.6,2994,"0,001548%",6,7–9,8,侣,lǚ,lü,third,companion; associate with
,1147,1147,1220,人 9.6,20960,"0,010834%",6,6,8,侧,cè,ce,fourth,"side; incline, slant, lean"
,1148,1148,1410,几 16.6,15619,"0,008074%",5,5,8,凭,píng,ping,second,"lean on, depend on, rely on"
,1149,1149,2340,人 9.6,4633,"0,002395%",6,7–9,8,侨,qiáo,qiao,second,"sojourn, lodge"
,1150,1150,1507,人 9.6,13784,"0,007125%",5,7–9,8,佩,pèi,pei,fourth,"belt ornament, pendant; wear at waist, tie to the belt; respect"
,1151,1151,818,貝 154.4,42602,"0,022021%",4,4,8,货,huò,huo,fourth,"goods, commodities, products"
,1152,1152,3081,人 9.6,1703,"0,000880%",6,7–9,8,侈,chǐ,chi,third,"luxurious, extravagant"
,1153,1153,568,人 9.6,70632,"0,036510%",5,4,8,依,yī,yi,first,"rely on, be set in; consent, obey a wish"
,1154,1154,2059,十 24.6,6572,"0,003397%",6,7–9,8,卑,bēi,bei,first,"humble, low, inferior; despise"
,1155,1155,1,白 106.3,7922684,"4,095302%",1,1,8,的,de,de,neutral,"possessive, adjectival suffix"
,1156,1156,1006,辵 162.5,30930,"0,015988%",5,4,8,迫,pò,po,fourth,"coerce, force, compel; urgent"
,1157,1157,404,厂 27.4,104560,"0,054048%",4,4,8,质,zhì,zhi,fourth,"matter, material, substance"
,1158,1158,1523,欠 76.4,13500,"0,006978%",5,5,8,欣,xīn,xin,first,"happy, joyous, delighted"
,1159,1159,739,彳 60.5,49855,"0,025770%",5,4,8,征,zhēng,zheng,first,"invade, attack, conquer"
,1160,1160,369,彳 60.5,116539,"0,060240%",2,2,8,往,wǎng,wang,third,"go, depart; past, formerly"
,1161,1161,1426,爪 87.4,15255,"0,007885%",3,2,8,爬,pá,pa,second,"crawl, creep; climb; scramble"
,1162,1162,1256,彳 60.5,20021,"0,010349%",5,5,8,彼,bǐ,bi,third,"that, there, those"
,1163,1163,1307,彳 60.5,18428,"0,009526%",6,6,8,径,jìng,jing,fourth,narrow path; diameter; direct
,1164,1164,54,戶 63.4,523028,"0,270358%",2,2,8,所,suǒ,suo,third,"place, location; numerary adjunct"
,1165,1165,1344,舌 135.2,17647,"0,009122%",5,5,8,舍,shě,she,third,"house, dwelling; dwell, reside"
,1166,1166,260,金 167.0,167912,"0,086795%",4,3,8,金,jīn,jin,first,gold; metals in general; money
,1167,1167,2249,刀 18.6,5185,"0,002680%",6,7–9,8,刹,shā,sha,first,"temple, shrine, monastary"
,1168,1168,258,口 30.5,168358,"0,087026%",4,3,8,命,mìng,ming,fourth,"life; destiny, fate, luck; an order, instruction"
,1169,1169,3513,肉 130.4,1026,"0,000530%",6,,8,肴,yáo,yao,second,cooked or prepared meat
,1170,1170,2771,斤 69.4,2598,"0,001343%",,7–9,8,斧,fǔ,fu,third,"axe, hatchet; chop, hew"
,1171,1171,1050,父 88.4,28526,"0,014745%",1,1,8,爸,bà,ba,fourth,"father, papa"
,1172,1172,585,釆 165.1,68946,"0,035639%",5,3,8,采,cǎi,cai,third,"collect, gather; pick, pluck"
,1173,1173,2825,爪 87.4,2396,"0,001239%",6,7–9,8,觅,mì,mi,fourth,seek; search
,1174,1174,238,又 29.6,180928,"0,093523%",4,2,8,受,shòu,shou,fourth,"receive, accept, get; bear, stand"
,1175,1175,1831,乙 5.7,8701,"0,004498%",6,6,8,乳,rǔ,ru,third,"breast, nipples; milk, suckle"
,1176,1176,1874,貝 154.4,8304,"0,004292%",6,7–9,8,贪,tān,tan,first,"be greedy, covet; covetous"
,1177,1177,477,心 61.4,85953,"0,044430%",5,3,8,念,niàn,nian,fourth,"think of, recall, study"
,1178,1178,1359,貝 154.4,17263,"0,008923%",6,6,8,贫,pín,pin,second,"poor, impoverished, needy"
,1179,1179,3145,心 61.4,1578,"0,000816%",,,8,忿,fèn,fen,fourth,"get angry; fury, exasperation"
,1180,1180,1790,肉 130.4,9214,"0,004763%",4,5,8,肤,fū,fu,first,"skin; superficial, shallow"
,1181,1181,2044,肉 130.4,6692,"0,003459%",6,6,8,肺,fèi,fei,fourth,lungs
,1182,1182,2335,肉 130.4,4651,"0,002404%",6,7–9,8,肢,zhī,zhi,first,human limbs; animal feet
,1183,1183,1792,肉 130.4,9202,"0,004757%",6,6,8,肿,zhǒng,zhong,third,swell; swollen; swelling
,1184,1184,2083,肉 130.4,6327,"0,003270%",6,7–9,8,胀,zhàng,zhang,fourth,"swell, inflate, expand"
,1185,1185,882,月 74.4,38271,"0,019783%",1,1,8,朋,péng,peng,second,"friend, pal, acquaintance"
,1186,1186,644,肉 130.4,61861,"0,031976%",5,6,8,股,gǔ,gu,third,"thighs, haunches, rump; share"
,1187,1187,3194,肉 130.4,1499,"0,000775%",,,8,肮,āng,ang,first,dirty
,1188,1188,3005,肉 130.4,1882,"0,000973%",6,7–9,8,肪,fáng,fang,second,animal fat
,1189,1189,1620,肉 130.4,11594,"0,005993%",4,4,8,肥,féi,fei,second,"fat, plump, obese; fertile"
,1190,1190,365,月 74.4,116961,"0,060458%",1,1,8,服,fú,fu,second,"clothes; wear, dress"
,1191,1191,1494,肉 130.4,13948,"0,007210%",5,6,8,胁,xié,xie,second,"ribs, armpits; flank; threaten"
,1192,1192,490,口 30.5,83366,"0,043093%",3,2,8,周,zhōu,zhou,first,Zhou dynasty; circumference
,1193,1193,1561,日 72.4,12600,"0,006513%",6,6,8,昏,hūn,hun,first,"dusk, nightfall, twilight, dark"
,1194,1194,852,魚 195.0,40452,"0,020910%",2,2,8,鱼,yú,yu,second,fish; surname; KangXi radical 195
,1195,1195,2364,儿 10.6,4418,"0,002284%",5,5,8,兔,tù,tu,fourth,"rabbit, hare"
,1196,1196,2321,犬 94.5,4718,"0,002439%",,,8,狐,hú,hu,second,species of fox
,1197,1197,912,心 61.4,36378,"0,018804%",5,2,8,忽,hū,hu,first,"suddenly, abruptly; neglect"
,1198,1198,1281,犬 94.5,19093,"0,009869%",1,2,8,狗,gǒu,gou,third,"dog, canis familiaris"
,1199,1199,3457,犬 94.5,1078,"0,000557%",,,8,狞,níng,ning,second,ferocious appearance; hideous
,1200,1200,397,夂 34.5,107114,"0,055368%",2,1,8,备,bèi,bei,fourth,"prepare, ready, perfect"
,1201,1201,1604,食 184.5,11794,"0,006096%",5,5,8,饰,shì,shi,fourth,"decorate, ornament, adorn"
,1202,1202,1998,食 184.5,7059,"0,003649%",3,2,8,饱,bǎo,bao,third,to eat till full; satisfied
,1203,1203,1971,食 184.5,7399,"0,003825%",6,7–9,8,饲,sì,si,fourth,raise animals; feed; nourish
,1204,1204,225,又 29.6,185121,"0,095691%",3,2,8,变,biàn,bian,fourth,"change, transform, alter; rebel"
,1205,1205,566,亠 8.6,71245,"0,036827%",1,1,8,京,jīng,jing,first,capital city
,1206,1206,1227,亠 8.6,20830,"0,010767%",5,5,8,享,xiǎng,xiang,third,enjoy
,1207,1207,1849,广 53.5,8531,"0,004410%",6,7–9,8,庞,páng,pang,second,"disorderly, messy; huge, big"
,1208,1208,1041,广 53.5,28926,"0,014952%",1,1,8,店,diàn,dian,fourth,"shop, store; inn, hotel"
,1209,1209,665,夕 36.5,58839,"0,030414%",5,2,8,夜,yè,ye,fourth,"night, dark; in night; by night"
,1210,1210,1889,广 53.5,8220,"0,004249%",6,7–9,8,庙,miào,miao,fourth,"temple, shrine; imperial court"
,1211,1211,417,广 53.5,100771,"0,052089%",5,4,8,府,fǔ,fu,third,prefecture; prefect; government
,1212,1212,543,广 53.5,75728,"0,039144%",4,3,8,底,dǐ,di,third,"bottom, underneath, underside"
